ioc_type,ioc_value,malware_family,threat_actor,category,confidence,use_mode,tags,description,first_seen,source
DOMAIN,api.telegram.org,Multiple,Multiple,C2 Infrastructure,High,Exfiltration;C2,telegram;c2;exfiltration;legitimate-abuse;universal-indicator,Core Telegram Bot API domain abused by virtually all malware families using Telegram as C2 - HTTPS POST to /botTOKEN/sendMessage or /sendDocument endpoints,2017,Multiple sources
URL_PATTERN,https://api.telegram.org/bot[TOKEN]/sendMessage,Multiple,Multiple,C2 Pattern,High,Exfiltration,telegram;c2;api-endpoint;credential-exfil;keylogger,Telegram Bot API sendMessage endpoint - used by phishing kits and infostealers to exfiltrate credentials as text messages,2020,Cofense / NVISO / DomainTools
URL_PATTERN,https://api.telegram.org/bot[TOKEN]/sendDocument,Multiple,Multiple,C2 Pattern,High,Exfiltration,telegram;c2;api-endpoint;file-exfil;archive-upload,Telegram Bot API sendDocument endpoint - used to upload stolen credential archives and screenshots to attacker chat,2020,Cofense / NVISO / Bitsight
URL_PATTERN,https://api.telegram.org/bot[TOKEN]/getUpdates,Multiple,Multiple,C2 Pattern,High,Bidirectional C2,telegram;c2;api-endpoint;bidirectional;rat;command-polling,Telegram Bot API getUpdates endpoint - used by RATs (XWorm AsyncRAT) to poll for operator commands in real time,2020,NVISO / CloudSEK
URL_PATTERN,https://api.telegram.org/bot[TOKEN]/sendPhoto,Multiple,Multiple,C2 Pattern,Medium,Exfiltration,telegram;c2;api-endpoint;screenshot-exfil,Telegram Bot API sendPhoto endpoint - used to exfiltrate screenshots captured by keyloggers and stealers,2022,Cofense
IP,149.154.160.0/20,Telegram Infrastructure,Telegram,Infrastructure,High,Hosting,telegram;asn;ip-range;telegram-servers;c2-backend,Telegram IP range AS62014 - all Telegram bot API traffic routes through these addresses - monitor/restrict in high-security environments,Ongoing,Telegram ASN data
IP,91.108.4.0/22,Telegram Infrastructure,Telegram,Infrastructure,High,Hosting,telegram;asn;ip-range;telegram-servers;c2-backend,Telegram IP range AS62014 - Telegram API server subnet - used for all bot communications,Ongoing,Telegram ASN data
IP,91.108.56.0/22,Telegram Infrastructure,Telegram,Infrastructure,High,Hosting,telegram;asn;ip-range;telegram-servers;c2-backend,Telegram IP range AS62014 - Telegram API server subnet,Ongoing,Telegram ASN data
IP,91.108.8.0/22,Telegram Infrastructure,Telegram,Infrastructure,High,Hosting,telegram;asn;ip-range;telegram-servers;c2-backend,Telegram IP range AS62014 - Telegram API server subnet,Ongoing,Telegram ASN data
IP,95.161.64.0/20,Telegram Infrastructure,Telegram,Infrastructure,High,Hosting,telegram;asn;ip-range;telegram-servers;c2-backend,Telegram IP range AS62014 - Telegram server subnet used for API calls,Ongoing,Telegram ASN data
TELEGRAM_BOT,@bebetologxxz_bot,Agent Tesla,Unknown (Nigeria-linked),Known Malicious Bot,High,Exfiltration,agent-tesla;credential-exfil;chat-name-mr-grace-247,Agent Tesla C2 bot - display name bebetologxxz - exfiltrates to chat named 'Mr Grace 247' - identified via exposed API token in phishing kit JavaScript,2024,Cofense Intelligence
